SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100
SSP2;CAZ;;International Ship_tmp_vehicletype;International Ship_tmp_subsectorL3;International Ship_tmp_subsectorL2;International Ship;trn_shipping_intl;VS3;1;1;1;1;1
SSP2;CAZ;;Large Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;0.325999990098075;0.325999999983904;0.325999999601808;0.325999999831608;0.326000000181566
SSP2;CAZ;;Large Car and SUV;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;6.97000005758153e-05;6.96999999541297e-05;6.96999999700473e-05;6.97000000236944e-05;6.97000000063116e-05
SSP2;CAZ;;Midsize Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;1;1;1;1;1
SSP2;CAZ;;Mini Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;9.87999996506028e-09;9.87999999504819e-09;9.87999999727507e-09;9.87999999787124e-09;9.88000001421341e-09
SSP2;CAZ;;Moped;trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;0.000286999999999165;0.000287000000001565;0.000286999999999461;0.000287000000000176;0.000286999999997548
SSP2;CAZ;;Motorcycle (50-250cc);trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;0.00019899999999674;0.000199000000000584;0.000198999999999728;0.000198999999999751;0.000198999999998721
SSP2;CAZ;;Motorcycle (>250cc);trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;1;1;1;1;1
SSP2;CAZ;;Passenger Rail_tmp_vehicletype;Passenger Rail_tmp_subsectorL3;Passenger Rail_tmp_subsectorL2;Passenger Rail;trn_pass;VS3;1;1;1;1;1
SSP2;CAZ;;Subcompact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;6.73000001388449e-05;6.72999999309638e-05;6.72999999641735e-05;6.72999999980575e-05;6.73000000224729e-05
SSP2;CAZ;;Truck (0-3_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;VS3;1;1;1;1;1
SSP2;CAZ;;Truck (18t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;VS3;0.232999999673856;0.233000000002131;0.232999999991931;0.233000000107649;0.232999999622039
SSP2;CAZ;;Truck (26t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;VS3;0.833999998792545;0.834000000007388;0.833999999985302;0.834000000415883;0.833999998549215
SSP2;CAZ;;Truck (40t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;VS3;3.49999999503765e-05;3.50000000012053e-05;3.4999999997507e-05;3.50000000161111e-05;3.499999993955e-05
SSP2;CAZ;;Truck (7_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;VS3;0.627999999088848;0.628000000015634;0.627999999979353;0.628000000310825;0.627999998804589
SSP2;CAZ;;Van;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;VS3;0.208000000991421;0.207999999838109;0.207999999862337;0.207999999894673;0.208000000487127
SSP2;CAZ;;Walk_tmp_vehicletype;Walk_tmp_subsectorL3;Walk_tmp_subsectorL2;Walk;trn_pass;VS3;1;1;1;1;1
SSP2;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0;0.112000000009055;0.27699999982491;0.442000000184398;0.974000004004148
SSP2;CAZ;BEV;Compact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0133833958473359;0.0170893742516478;0.0254336992479843;0.0620357388416908;1
SSP2;CAZ;BEV;Large Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0437539703620885;0.0512479761783015;0.0673224908776593;0.136518414395847;1
SSP2;CAZ;BEV;Large Car and SUV;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0457079017389471;0.0560759710477961;0.0782572293086792;0.168256429793118;1
SSP2;CAZ;BEV;Midsize Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0257117806653296;0.0322179288542149;0.0464462106985655;0.105837718706938;1
SSP2;CAZ;BEV;Mini Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0443309411000315;0.0525816163702068;0.0723827815193883;0.147802390240341;1
SSP2;CAZ;BEV;Moped;trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0;0.249999999974394;0.735294118509421;1;1
SSP2;CAZ;BEV;Motorcycle (50-250cc);trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0;0.250000000280939;0.735294116413018;1;1
SSP2;CAZ;BEV;Motorcycle (>250cc);trn_pass_road_LDV_2W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0;0.250000002282107;0.735294117572324;1;1
SSP2;CAZ;BEV;Subcompact Car;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.0444106674893348;0.0518546125040576;0.0692829810456937;0.137991422936812;1
SSP2;CAZ;BEV;Truck (0-3_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.140999999924402;0.235999999906009;0.331000000053749;0.435000000088521
SSP2;CAZ;BEV;Truck (18t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0560999999503038;0.116999999994081;0.177999999974485;0.422000007951242
SSP2;CAZ;BEV;Truck (26t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.056099999987374;0.117000000003146;0.177999999979644;0.422000000338192
SSP2;CAZ;BEV;Truck (40t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.0561000000024211;0.116999999999947;0.177999999964516;0.421999998649496
SSP2;CAZ;BEV;Truck (7_5t);trn_freight_road_tmp_subsectorL3;trn_freight_road_tmp_subsectorL2;trn_freight_road;trn_freight;FV;0;0.141000000021648;0.235999999744597;0.33100000002071;0.435000000566522
SSP2;CAZ;BEV;Van;trn_pass_road_LDV_4W;trn_pass_road_LDV;trn_pass_road;trn_pass;FV;0.022667914295557;0.0328683200070405;0.0569732882576133;0.159403839006172;1
SSP2;CAZ;Cycle_tmp_technology;Cycle_tmp_vehicletype;Cycle_tmp_subsectorL3;Cycle_tmp_subsectorL2;Cycle;trn_pass;FV;1;1;1;1;1
SSP2;CAZ;Electric;Freight Rail_tmp_vehicletype;Freight Rail_tmp_subsectorL3;Freight Rail_tmp_subsectorL2;Freight Rail;trn_freight;FV;0.0906999999971476;0.12264839036633;0.318000000060856;0.432000000008888;0.885999990535025
SSP2;CAZ;Electric;HSR_tmp_vehicletype;HSR_tmp_subsectorL3;HSR_tmp_subsectorL2;HSR;trn_pass;FV;1;1;1;1;1
